-6.25095177,-1.77759087,7.34412384
-6.25240707,-1.77985239,7.34233713
-6.25449085,-1.78464341,7.33939886
-6.25322199,-1.78671432,7.33997631
-6.25511265,-1.7861805,7.33849525
-6.25648022,-1.78641176,7.33727312
-6.25535297,-1.79166365,7.33695316
-6.25724792,-1.79137397,7.33540821
-6.25721836,-1.79330742,7.33496094
-6.25537491,-1.79480159,7.33616781
-6.25387383,-1.79726052,7.3368454
-6.25454283,-1.79982233,7.33564711
-6.25713205,-1.80142617,7.33304453
-6.25697851,-1.8006959,7.33335543
-6.25777626,-1.79631245,7.33374929
-6.26235533,-1.79138792,7.33104467
-6.26488161,-1.79273331,7.32855701
-6.26753187,-1.79669213,7.3253212
-6.26788759,-1.80871832,7.32205629
-6.26671076,-1.82501638,7.31901884
-6.26185226,-1.83301127,7.32117891
-6.25800848,-1.8418014,7.32225943
-6.25727367,-1.85146213,7.32045078
-6.25688314,-1.86239064,7.31801176
-6.2558279,-1.86909699,7.31720448
-6.25153589,-1.87317622,7.31982851
-6.24755859,-1.86716187,7.32475996
-6.24469948,-1.85158455,7.3311491
-6.24205399,-1.84544671,7.33494854
-6.24158907,-1.86642098,7.33003569
-6.24944448,-1.91021264,7.31203938
-6.25534391,-1.94189525,7.29863691
-6.26824188,-1.97179091,7.279531
-6.26992941,-1.9975878,7.27103949
-6.26390123,-2.01048231,7.27268076
-6.25704622,-2.01210165,7.27813196
-6.25000191,-2.01556063,7.28322554
-6.25540972,-2.02410388,7.27621031
-6.25864983,-2.01922083,7.27478075
-6.26317263,-2.0022831,7.27556992
-6.27042484,-2.01600432,7.26552677
-6.28353691,-2.08267808,7.2353301
-6.30191708,-2.14457917,7.20118046
-6.30368185,-2.17803836,7.18958473
-6.30285025,-2.20938778,7.18074322
-6.30376577,-2.23516154,7.17195749
-6.29968452,-2.24734068,7.17173767
-6.2937355,-2.24312353,7.17827797
-6.2878685,-2.23688126,7.18536425
-6.28391218,-2.22111368,7.19371176
-6.27736855,-2.19518876,7.20736933
-6.28326797,-2.16775513,7.21053171
-6.28999281,-2.16904449,7.20427799
-6.30984926,-2.19092417,7.18025351
-6.31909513,-2.21076131,7.16602755
-6.32594967,-2.22952461,7.15415716
-6.33148241,-2.23740435,7.14679909
-6.34014368,-2.24603033,7.13640738
-6.34631777,-2.25686288,7.12749624
-6.35134172,-2.2652421,7.1203599
-6.35904121,-2.27478266,7.11043882
-6.36645222,-2.28192782,7.10151243
-6.37025404,-2.28874874,7.0959053
-6.37573481,-2.30304718,7.08635044
-6.37970924,-2.32803631,7.07459831
-6.38343382,-2.36832643,7.05784607
-6.38475513,-2.39670753,7.04706144
-6.38180685,-2.40773177,7.04597425
-6.37941647,-2.41903257,7.04426765
-6.37590837,-2.42449689,7.04556513
-6.37066603,-2.43193913,7.04774189
-6.3652792,-2.4266758,7.05442047
-6.36106634,-2.42220378,7.0597558
-6.35375881,-2.41461015,7.06893158
-6.34945107,-2.40843606,7.07490587
-6.34328175,-2.40411258,7.0819068
-6.33825016,-2.4037385,7.08653736
-6.33341885,-2.40232611,7.09133387
-6.32849455,-2.41128922,7.09268856
-6.32412481,-2.4247508,7.09199619
-6.31852198,-2.42527342,7.09680986
-6.31419373,-2.41800642,7.10313892
-6.31176901,-2.41673517,7.10572624
-6.30804014,-2.421628,7.10737181
-6.30556202,-2.4303956,7.10657787
-6.30464411,-2.4460969,7.10200357
-6.30313158,-2.46300101,7.09750271
-6.30063152,-2.47795081,7.09451818
-6.29545212,-2.49035358,7.09477329
-6.28942442,-2.49618793,7.09806776
-6.28394604,-2.49745083,7.10247469
-6.27757025,-2.4966948,7.10837603
-6.27117634,-2.49695516,7.11392593
-6.26229143,-2.50067735,7.12044239
-6.25401545,-2.51588798,7.12235785
-6.2472415,-2.5365715,7.12096643
-6.23904562,-2.55043435,7.12319994
-6.22718906,-2.55875993,7.13058519
-6.21087742,-2.55996108,7.14436722
-6.19779253,-2.55446267,7.15768623
-6.18525839,-2.54825163,7.17073059
-6.17407942,-2.53839898,7.18384695
-6.16733789,-2.53652883,7.1902957
-6.1613369,-2.53636503,7.19549608
-6.15901232,-2.53613162,7.19756794
-6.16190672,-2.54772282,7.19099426
